Gene	Gene_ID	Locus	Gene_Size	Mut_Freq	Muts_per_Mbp	Mean_Gain	Mean_Loss	Num_Lists	fmi_heme_407	chop_heme_211	mayo_heme_42	goal_core_497	tempus_xt_648	pgdx_elio_505	summary
FANCL	ENSG00000115392	02p16.1	1758	0.78%	4.44	2.7630	1.9687	4	1			1	1	1	An E3 ubiquitin ligase involved in DNA repair, is infrequently altered in cancer. Germline mutations of FANCL are associated with the cancer predisposition syndrome Fanconi Anemia.
REL	ENSG00000162924	02p16.1	11301	1.73%	1.53	2.7815	1.9730	2				1		1	A transcription factor, is most frequently altered by mutation or amplification in B-cell lymphomas.
FBXO11	ENSG00000138081	02p16.3	5073	2.30%	4.54	2.7576	1.9699	3	1			1	1		A component of the SCF ubiquitin ligase complex, is recurrently altered by mutation in lymphomas.
ALK	ENSG00000171094	02p23.2-p23.1	6731	13.45%	19.98	2.7444	1.9684	5	1	1		1	1	1	A receptor tyrosine kinase, is recurrently altered by chromosomal rearrangements in various cancer types including anaplastic large cell lymphoma, non-small cell lung cancer and inflammatory myofibroblastic tumors.
DNMT3A	ENSG00000119772	02p23.3	10880	8.34%	7.67	2.7307	1.9620	6	1	1	1	1	1	1	A tumor suppressor and DNA methyltransferase, is recurrently mutated in acute myeloid leukemia and other hematologic malignancies
CXCR4	ENSG00000121966	02q22.1	2007	0.87%	4.32	2.6637	1.9503	4	1			1	1	1	A chemokine receptor, is altered in various solid and hematologic malignancies including lymphoplasmacytic lymphoma.
LRP1B	ENSG00000168702	02q22.1-q22.2	16214	21.62%	13.34	2.6619	1.9460	4	1			1	1	1	
SF3B1	ENSG00000115524	02q33.1	8246	5.23%	6.34	2.6852	1.9599	6	1	1	1	1	1	1	A component of the spliceosome complex, is frequently mutated in hematologic malignancies.
CD28	ENSG00000178562	02q33.2	4901	0.42%	0.86	2.6616	1.9462	1				1			A costimulatory receptor expressed by T cells, is infrequently altered in a diverse range of human cancers.
CTLA4	ENSG00000163599	02q33.2	2013	0.88%	4.35	2.6592	1.9453	3				1	1	1	A transmembrane receptor, is infrequently altered in cancer and is a promising target for immune blockade therapies.
IDH1	ENSG00000138413	02q34	2774	5.56%	20.03	2.6379	1.9385	6	1	1	1	1	1	1	A cell metabolism enzyme, is recurrently mutated in various cancer types including acute myeloid leukemia and gliomas.
IKZF2	ENSG00000030419	02q34	10025	1.70%	1.70	2.6121	1.9237	2	1			1			
RHOA	ENSG00000067560	03p21.31	1968	1.07%	5.43	2.5059	1.8113	4	1			1	1	1	A GTPase, is altered in various solid and hematologic malignancies.
SETD2	ENSG00000181555	03p21.31	8705	6.49%	7.46	2.5090	1.8146	5	1	1		1	1	1	Encodes a tumor suppressor and H3K36 trimethylase. Mutations in this gene have been identified in a variety of cancer types.
CTNNB1	ENSG00000168036	03p22.1	7773	16.71%	21.50	2.5406	1.8297	4	1			1	1	1	Aka beta-catenin, a transcriptional activator, is recurrently mutated in various cancers including endometrial and hepatocellular cancers.
MYD88	ENSG00000172936	03p22.2	2894	0.90%	3.10	2.5531	1.8304	5	1	1		1	1	1	An adaptor protein, is frequently altered in hematologic malignancies including Waldenstroms macroglobulinemia.
CCR4	ENSG00000183813	03p22.3	3033	1.54%	5.08	2.5679	1.8338	0							
CBLB	ENSG00000114423	03q13.11	7452	4.37%	5.87	2.8189	1.9327	2				1	1		
MBD4	ENSG00000129071	03q21.3	3005	4.58%	15.26	2.8456	1.9378	0							
GATA2	ENSG00000179348	03q21.3	3805	3.12%	8.20	2.8408	1.9386	6	1	1	1	1	1	1	A transcription factor involved in red blood cell and platelet development. Germline mutations of GATA2 are associated with Emberger and MonoMAC syndromes and predispose to leukemias.
ATR	ENSG00000175054	03q23	8346	6.58%	7.88	2.9498	1.9462	4	1			1	1	1	A tumor suppressor involved in DNA damage repair, is mutated in various cancer types.
MECOM	ENSG00000085276	03q26.2	7093	5.62%	7.92	3.2333	1.9484	2		1		1			A transcription factor expressed in hematopoietic stem cells, is recurrently altered by chromosomal rearrangement in hematologic malignancies.
TERC	ENSG00000270141	03q26.2	545			3.2409	1.9503	2				1		1	
PIK3CA	ENSG00000121879	03q26.32	9430	13.22%	14.01	3.2314	1.9512	5	1	1		1	1	1	The catalytic subunit of PI3-kinase, is frequently mutated in a diverse range of cancers including breast, endometrial and cervical cancers.
TBL1XR1	ENSG00000177565	03q26.32	8389	1.50%	1.79	3.2164	1.9463	3	1			1	1		A transcriptional repressor that binds the NCoR/SMRT protein complex, is recurrently altered by mutation and fusion in hematologic malignancies.
KLHL6	ENSG00000172578	03q27.1	6323	2.43%	3.84	3.2232	1.9507	4	1			1	1	1	
BCL6	ENSG00000113916	03q27.3	4091	7.07%	17.28	3.1329	1.9414	5	1	1		1	1	1	A transcriptional repressor involved in immune cell development, is frequently altered by chromosomal rearrangement in lymphomas.
FGFR3	ENSG00000068078	04p16.3	4536	2.92%	6.43	2.5746	1.8853	5	1	1		1	1	1	A receptor tyrosine kinase, is altered by mutation, chromosomal rearrangement or amplification in various cancers, most frequently in bladder cancer.
NSD2	ENSG00000109685	04p16.3	17824	5.12%	2.87	2.5689	1.8847	5	1	1		1	1	1	A histone methyltransferase, is mutated in blood cancers.
KIT	ENSG00000157404	04q12	5231	3.05%	5.84	2.7719	1.9276	6	1	1	1	1	1	1	A receptor tyrosine kinase, is recurrently mutated in gastrointestinal stromal tumors.
PDGFRA	ENSG00000134853	04q12	7774	5.72%	7.36	2.7820	1.9280	5	1	1		1	1	1	A receptor tyrosine kinase, is altered by mutation, chromosomal rearrangement or amplification in a diverse range of cancers.
SRP72	ENSG00000174780	04q12	4048	1.37%	3.38	2.6489	1.9268	1			1				
TET2	ENSG00000168769	04q24	15770	4.15%	2.63	2.4670	1.8863	6	1	1	1	1	1	1	A tumor suppressor and DNA demethylase, is frequently mutated in hematologic malignancies.
LEF1	ENSG00000138795	04q25	4247	2.05%	4.83	2.4725	1.8903	3	1	1			1		
FAT4	ENSG00000196159	04q28.1	17355	18.35%	10.57	2.4781	1.8932	0							
FBXW7	ENSG00000109670	04q31.3	6639	8.69%	13.09	2.4816	1.8768	5	1	1		1	1	1	A tumor suppressor involved in protein degradation, is inactivated by mutation in various cancer types, most frequently in endometrial and colorectal cancers.
FAT1	ENSG00000083857	04q35.2	14893	14.73%	9.89	2.4780	1.8417	3				1	1	1	A tumor suppressor and transmembrane protein, is inactivated by mutation or deletion in various cancer types.
IL7R	ENSG00000168685	05p13.2	4898	3.75%	7.65	3.0907	1.9721	5	1	1		1	1	1	A subunit of the interleukin 7 receptor, is altered in various hematologic malignancies including pediatric acute lymphoblastic leukemia.
TERT	ENSG00000164362	05p15.33	4103	3.51%	8.55	3.1193	1.9495	5		1	1	1	1	1	An enzyme that functions to maintain telomere length and genomic stability. The TERT promoter is frequently mutated in various cancer types.
CSF1R	ENSG00000182578	05q32	4077	4.58%	11.22	2.5918	1.9076	5	1	1		1	1	1	A cytokine receptor, is altered in various cancer types.
PDGFRB	ENSG00000113721	05q32	5792	4.89%	8.45	2.6002	1.9078	5	1	1		1	1	1	A receptor tyrosine kinase, is infrequently mutated in solid tumors.
EBF1	ENSG00000164330	05q33.3	5486	1.99%	3.63	2.5910	1.9052	4	1	1		1	1		
ITK	ENSG00000113263	05q33.3	4576	1.60%	3.49	2.5860	1.9043	1				1			
NPM1	ENSG00000181163	05q35.1	2658	1.97%	7.43	2.6136	1.9064	6	1	1	1	1	1	1	A nucleolar phosphoprotein, is frequently altered in hematologic malignancies.
NSD1	ENSG00000165671	05q35.3	13827	9.11%	6.59	2.6278	1.9086	5	1	1		1	1	1	Encodes a nuclear receptor that can both positively and negatively regulate transcription. Translocations involving NSD1 and the NUP98 gene are highly recurrent in pediatric acute myeloid leukemia.
DDX41	ENSG00000183258	05q35.3	2222	1.98%	8.93	2.6241	1.9090	3		1	1	1			An RNA helicase involved in innate immunity, is recurrently altered by mutation in hematopoietic malignancies. Germline mutations of DDX41 predispose to myelodysplastic syndromes and acute myeloid leukemia.
CCND3	ENSG00000112576	06p21.1	3933	1.21%	3.09	2.8585	1.9415	5	1	1		1	1	1	A regulator of the cell cycle, is amplified in various cancer types.
NFKBIE	ENSG00000146232	06p21.1	2605	1.40%	5.36	2.8465	1.9419	1				1			
PIM1	ENSG00000137193	06p21.2	2727	1.27%	4.66	2.7792	1.9354	4	1			1	1	1	Encodes a serine/threonine kinase involved in cell survival and proliferation. Mutations of PIM1 are found in lymphomas.
H1-4	ENSG00000168298	06p22.2	791	1.97%	24.96	2.7742	1.9273	3	1			1	1		A histone H1 linker protein, is infrequently altered by mutation in a diverse range of cancers.
H1-2	ENSG00000187837	06p22.2	735	2.87%	39.05	2.7742	1.9283	2	1					1	A histone variant, is infrequently altered by mutation in various cancer types.
TPMT	ENSG00000137364	06p22.3	3220	0.40%	1.26	2.8161	1.9285	3		1		1	1		
IRF4	ENSG00000137265	06p25.3	5350	1.78%	3.33	2.7334	1.8921	4	1			1	1	1	A transcription factor, is altered by mutation and chromosomal rearrangement in various hematologic malignancies.
TMEM30A	ENSG00000112697	06q14.1	5165	0.86%	1.66	2.5839	1.8681	1	1						
EPHA7	ENSG00000135333	06q16.1	7536	6.40%	8.49	2.5771	1.8364	4	1			1	1	1	A receptor tyrosine kinase, is altered by mutation or deletion in various cancer types, most frequently in skin cancers.
PRDM1	ENSG00000057657	06q21	6066	2.39%	3.94	2.6259	1.8305	4	1			1	1	1	Encodes a transcriptional repressor involved in the cellular response to viral infection and B-cell differentiation. Deletions of PRDM1 are found in diffuse large B-cell lymphomas and prostate cancer.
SGK1	ENSG00000118515	06q23.2	6406	5.51%	8.60	2.5999	1.8490	4	1			1	1	1	A serine/threonine kinase in the PI3K signaling pathways, is altered by mutation in hematologic malignancies.
TNFAIP3	ENSG00000118503	06q23.3	4703	2.29%	4.87	2.5953	1.8490	4	1			1	1	1	Encodes an enzyme involved in regulation of the NF-κB pathway. Mutations of TNFAIP3 are found in lymphomas and leukemias.
ARID1B	ENSG00000049618	06q25.3	12356	16.47%	13.33	2.5370	1.8363	3				1	1	1	A tumor suppressor involved in transcriptional regulation, is inactivated by mutation or deletion in various cancer types.
EGFR	ENSG00000146648	07p11.2	11447	5.70%	4.98	4.1495	1.9774	5	1	1		1	1	1	A receptor tyrosine kinase, is altered by amplification and/or mutation in lung and brain cancers among others.
IKZF1	ENSG00000185811	07p12.2	8181	4.83%	5.90	3.0359	1.9641	5	1	1		1	1	1	Encodes a transcription factor involved in lymphocyte development. Loss-of-function alterations of IKZF1 are frequently found in B-cell acute lymphocytic leukemia.
CARD11	ENSG00000198286	07p22.2	4466	12.93%	28.94	3.0391	1.9524	4	1			1	1	1	A scaffolding protein, is altered in various cancer types including skin cancer and diffuse large B-cell lymphoma.
SAMD9	ENSG00000205413	07q21.2	6867	6.50%	9.47	3.1063	1.9679	1				1			
SAMD9L	ENSG00000177409	07q21.2	7170	3.22%	4.49	3.1004	1.9674	1				1			
CUX1	ENSG00000257923	07q22.1	15699	6.27%	3.99	3.0103	1.9570	3	1			1	1		A transcription factor, is frequently altered in several cancers types by deletion, mutation or translocation.
POT1	ENSG00000128513	07q31.33	4634	5.36%	11.56	2.9613	1.9390	4	1			1	1	1	A tumor suppressor that functions as a telomere binding protein, is altered by mutation in hematologic malignancies.
BRAF	ENSG00000157764	07q34	14486	6.65%	4.59	2.9768	1.9424	5	1	1		1	1	1	An intracellular kinase, is frequently mutated in melanoma, thyroid and lung cancers among others.
LUC7L2	ENSG00000146963	07q34	3071	0.36%	1.16	2.9706	1.9433	0							
EZH2	ENSG00000106462	07q36.1	3155	2.84%	9.01	2.9498	1.9337	6	1	1	1	1	1	1	An epigenetic modifier, is altered by mutation and/or overexpression in solid tumors and hematologic malignancies.
KMT2C	ENSG00000055609	07q36.1	17096	84.07%	49.17	2.9483	1.9265	5	1	1		1	1	1	A tumor suppressor and histone methyltransferase, is altered in various solid and hematologic malignancies.
NBN	ENSG00000104320	08q21.3	4887	2.26%	4.63	3.2903	1.9666	3				1	1	1	A tumor suppressor involved in DNA double-strand break repair. Germline mutations of NBN are associated with Nijmegen breakage syndrome and predispose to cancer.
RAD21	ENSG00000164754	08q24.11	5502	1.85%	3.36	3.4577	1.9726	6	1	1	1	1	1	1	Encodes a protein involved in DNA repair and chromosome segregation. Germline mutations of RAD21 are associated with an increased risk of developing breast cancer.
MYC	ENSG00000136997	08q24.21	4600	7.25%	15.77	3.6893	1.9770	5	1	1		1	1	1	A transcription factor, is altered by chromosomal rearrangement, amplification and overexpression in a variety of cancer types.
PAX5	ENSG00000196092	09p13.2	8853	2.89%	3.26	2.6186	1.8660	5	1	1		1	1	1	Encodes a transcription factor involved in B-cell development. Translocations of PAX5 are found in lymphomas and leukemias.
CDKN2A	ENSG00000147889	09p21.3	3189	8.04%	25.22	2.5742	1.5480	5	1	1		1	1	1	Encodes two proteins, p16INK4A and p14ARF, that regulate the cell growth and survival. CDKN2A is altered by mutation and/or deletion in a broad range of solid and hematologic cancers.
CDKN2B	ENSG00000147883	09p21.3	3984	0.64%	1.60	2.5768	1.5558	5	1	1		1	1	1	A tumor suppressor and cell cycle regulator, is inactivated by mutation or deletion in various cancer types.
JAK2	ENSG00000096968	09p24.1	7123	3.38%	4.75	2.6630	1.8070	6	1	1	1	1	1	1	An intracellular kinase, is frequently altered by mutation or chromosomal rearrangement in hematologic malignancies.
CD274	ENSG00000120217	09p24.1	3713	0.66%	1.79	2.6832	1.8071	4	1			1	1	1	Aka PD-L1, is an immune receptor ligand. Expression of PD-L1 may help predict response to immunotherapies targeted against PD-L1 and its receptor, PD-1.
PTPRD	ENSG00000153707	09p24.1-p23	10797	7.25%	6.72	2.6412	1.8048	3				1	1	1	A tumor suppressor and receptor protein tyrosine phosphatase, is altered by mutation or deletion in various cancer types including skin and lung cancers.
HNRNPK	ENSG00000165119	09q21.32	3098	1.53%	4.94	2.5750	1.9035	1		1					
NTRK2	ENSG00000148053	09q21.33	20455	2.63%	1.29	2.5721	1.9036	5	1	1		1	1	1	A receptor tyrosine kinase, is altered by mutation or chromosomal rearrangement in a diverse range of cancers.
SYK	ENSG00000165025	09q22.2	5240	2.26%	4.32	2.5729	1.9041	3				1	1	1	Encodes a tyrosine kinase involved in signal transduction. Upregulation of SYK is found in lymphomas, leukemias and select epithelial tumors.
ABL1	ENSG00000097007	09q34.12	7066	31.55%	44.66	2.5731	1.8959	5	1	1		1	1	1	A tyrosine kinase, is frequently altered by chromosomal translocations in leukemia.
NOTCH1	ENSG00000148400	09q34.3	9704	28.02%	28.87	2.5942	1.8859	5	1	1		1	1	1	A transmembrane receptor and transcription factor, can function as both an oncogene and tumor suppressor.
TRAF2	ENSG00000127191	09q34.3	2310	2.39%	10.34	2.5979	1.8875	1	1						A protein that mediates signaling from members of the TNF receptor family and regulates downstream NFkB pathway activation. Mutations are found in meyloma, lymphomas, and more rarely in epithelial cancers.
ANKRD26	ENSG00000107890	10p12.1	6911	6.62%	9.57	2.6806	1.8834	1			1				
GATA3	ENSG00000107485	10p14	3107	3.14%	10.11	2.7364	1.8734	5	1	1		1	1	1	A transcription factor, is altered by mutation or amplification in various cancers, most frequently in breast cancer.
EGR2	ENSG00000122877	10q21.3	3164	6.91%	21.83	2.5759	1.8741	1				1			
PTEN	ENSG00000171862	10q23.31	8551	7.62%	8.91	2.4946	1.7918	5	1	1		1	1	1	A lipid and protein phosphatase, is one of the most frequently mutated genes in cancer.
FAS	ENSG00000026103	10q23.31	4018	0.76%	1.89	2.4875	1.8175	4	1			1	1	1	A death receptor that initiates apoptosis, is recurrently altered by mutation or downregulation in a diverse range of human cancers.
NT5C2	ENSG00000076685	10q24.32-q24.33	5324	7.32%	13.75	2.4944	1.8471	5	1	1		1	1	1	A 5-prime nucleotidase, is frequently altered by mutation in relapsed hematopoietic malignancies.
SMC3	ENSG00000108055	10q25.2	5638	2.70%	4.78	2.5032	1.8510	5	1	1	1	1	1		An ATPase that functions as a subunit of the cohesin complex, is recurrently mutated in Cornelia de Lange syndromes, hematologic malignancies, and solid tumors.
WT1	ENSG00000184937	11p13	3621	2.59%	7.16	2.6185	1.9285	6	1	1	1	1	1	1	A transcription factor, is overexpressed in various cancer types including leukemias.
HRAS	ENSG00000174775	11p15.5	1371	1.47%	10.75	2.5287	1.8786	5	1	1		1	1	1	A GTPase, is altered in a diverse range of cancers including head and neck squamous cell carcinoma, thyroid, and bladder cancer.
SF1	ENSG00000168066	11q13.1	4223	3.51%	8.30	2.6247	1.9497	2		1		1			
CCND1	ENSG00000110092	11q13.3	4356	4.83%	11.08	3.3505	1.9576	5	1	1		1	1	1	A regulator of the cell cycle, is amplified in various cancer types including breast, head and neck, and bladder cancers.
EED	ENSG00000074266	11q14.2	3469	0.92%	2.67	2.6582	1.9037	4	1	1		1		1	A transcriptional repressor, is altered in malignant peripheral nerve sheath tumors and hematologic malignancies.
BIRC3	ENSG00000023445	11q22.2	7208	2.70%	3.74	2.8226	1.8875	3	1			1	1		An anti-apoptotic protein, is altered in various cancer types.
ATM	ENSG00000149311	11q22.3	18547	11.94%	6.44	2.5629	1.8637	4	1			1	1	1	A kinase involved in DNA damage response, is inactivated in various solid and hematologic malignancies. Germline ATM mutations are a defining feature of ataxia telangiectasia syndrome, a neurodegenerative, autosomal disorder that predisposes to various cancers.
KMT2A	ENSG00000118058	11q23.3	16746	17.42%	10.41	2.5545	1.8646	5	1	1		1	1	1	A histone methyltransferase, is altered by mutation or deletion in various solid tumors, and by chromosomal rearrangement in various hematologic malignancies.
CBL	ENSG00000110395	11q23.3	11273	13.93%	12.36	2.5461	1.8646	6	1	1	1	1	1	1	A tumor suppressor and ubiquitin ligase, is inactivated by mutation or deletion in various cancer types including myeloid malignancies.
KRAS	ENSG00000133703	12p12.1	6873	8.97%	13.05	3.2102	1.9470	6	1	1	1	1	1	1	A GTPase which functions as an upstream regulator of the MAPK and PI3K pathways, is frequently mutated in various cancer types including pancreatic, colorectal and lung cancers.
ETNK1	ENSG00000139163	12p12.1	8026	2.10%	2.62	3.0514	1.9415	3		1	1	1			A kinase involved in phospholipid biosynthesis, is recurrently altered by mutation in BCR-ABL negative CML and CMML.
CDKN1B	ENSG00000111276	12p13.1	2423	1.56%	6.44	2.8777	1.9109	4	1			1	1	1	A tumor suppressor and cell cycle regulator, is altered in various cancer types.
ETV6	ENSG00000139083	12p13.2	6176	1.41%	2.28	2.9026	1.9182	6	1	1	1	1	1	1	A transcription factor, is frequently altered by chromosomal rearrangement in hematologic malignancies.
ZNF384	ENSG00000126746	12p13.31	3493	5.50%	15.75	2.9099	1.9365	0							
CCND2	ENSG00000118971	12p13.32	6559	0.83%	1.26	2.9641	1.9392	4	1			1	1	1	A regulator of the cell cycle, is amplified in various cancer types.
KMT2D	ENSG00000167548	12q13.12	20855	31.28%	15.00	2.7135	1.9537	5	1	1		1	1	1	A tumor suppressor and histone methyltransferase, is one of the most frequently mutated genes in cancer.
PRPF40B	ENSG00000110844	12q13.12	3971	3.43%	8.64	2.7160	1.9543	2		1		1			
NFE2	ENSG00000123405	12q13.13	2258	1.31%	5.80	2.7340	1.9577	1				1			A hematopoietic transcription factor, is infrequently altered by mutation in hematopoietic malignancies.
STAT6	ENSG00000166888	12q13.3	4565	5.16%	11.31	2.7584	1.9615	4	1	1		1	1		A transcription factor involved with immune regulation, is recurrently altered by mutation and amplification in lymphomas and solid tumors. STAT6 fusions are found in all patients with solitary fibrous tumor and meningeal haemangiopericytoma.
BTG1	ENSG00000133639	12q21.33	4637	0.53%	1.14	2.6837	1.9411	3				1	1	1	An adaptor molecule that regulates transcription factor binding, is recurrently altered by deletions and mutations in hematopoietic malignancies.
SH2B3	ENSG00000111252	12q24.12	5633	1.76%	3.13	2.6778	1.9413	4		1	1	1	1		An adaptor protein that regulates growth factor and cytokine signaling. Mutations are found in hematopoietic disorders including leukemias and myeloid disease.
PTPN11	ENSG00000179295	12q24.13	6491	1.99%	3.07	2.6789	1.9427	6	1	1	1	1	1	1	A protein tyrosine phosphatase, is altered in various solid and hematologic malignancies.
BCL7A	ENSG00000110987	12q24.31	6271	0.53%	0.84	2.6763	1.9375	3	1			1	1		
FLT3	ENSG00000122025	13q12.2	3922	3.44%	8.77	2.6614	1.8597	6	1	1	1	1	1	1	A receptor tyrosine kinase, is recurrently altered in acute myeloid leukemia and other hematologic malignancies.
FOXO1	ENSG00000150907	13q14.11	5791	1.15%	1.98	2.6153	1.8196	4	1	1		1	1		A transcription factor, is recurrently altered by mutation in hematologic malignancies and by deletion in prostate cancer.
RB1	ENSG00000139687	13q14.2	5106	6.07%	11.88	2.6011	1.7945	5	1	1		1	1	1	A regulator of the cell cycle, is inactivated by mutation, deletion or allelic loss in various cancer types, including retinoblastoma and lung cancer.
DIS3	ENSG00000083520	13q21.33	10923	3.48%	3.18	2.7440	1.8450	2					1	1	The catalytic subunit of the RNA exosome complex, is recurrently mutated in several cancer types including multiple myeloma.
NFKBIA	ENSG00000100906	14q13.2	1925	1.00%	5.20	2.7263	1.8956	4	1			1	1	1	A negative regulator of NF-κB, is altered by mutation and deletion in various cancer types.
MAX	ENSG00000125952	14q23.3	4126	2.44%	5.91	2.5623	1.8724	3				1	1	1	A transcription factor, is altered by mutation and deletion in various cancer types including small-cell lung cancer. Gerrmline mutations of MAX are associated with hereditary pheochromocytoma.
BCL11B	ENSG00000127152	14q32.2	8544	6.63%	7.76	2.6190	1.8718	4	1	1		1	1		A transcription factor expressed in T cells and the central nervous system, is altered by mutation, deletion, or chromosomal rearrangement in hematopoietic malignancies.
TRAF3	ENSG00000131323	14q32.32	7854	3.85%	4.91	2.6372	1.8690	3	1			1	1		A signaling molecule and E3 ligase, is recurrently mutated and deleted in B cell lymphoma and multiple myeloma.
INO80	ENSG00000128908	15q15.1	6509	5.63%	8.64	2.4868	1.8838	0							
B2M	ENSG00000166710	15q21.1	2394	0.79%	3.30	2.4972	1.8865	4	1			1	1	1	A tumor suppressor and regulator of the immune system, is inactivated by mutation or deletion in various cancer types including non-Hodgkins lymphoma.
MAP2K1	ENSG00000169032	15q22.31	2685	1.13%	4.20	2.5512	1.9228	5	1	1		1	1	1	An intracellular kinase, is mutated at low frequencies in various cancer types including melanoma, colorectal and lung cancers.
NTRK3	ENSG00000140538	15q25.3	25384	4.11%	1.62	2.6186	1.9305	5	1	1		1	1	1	A receptor tyrosine kinase, is altered by mutation or chromosomal rearrangement in a diverse range of cancers including melanoma and lung cancers.
IDH2	ENSG00000182054	15q26.1	2835	1.57%	5.54	2.6638	1.9321	6	1	1	1	1	1	1	A cell metabolism enzyme, is recurrently mutated in various cancer types including acute myeloid leukemia, glioblastoma, and cholangiocarcinoma.
BLM	ENSG00000197299	15q26.1	5328	3.99%	7.48	2.6477	1.9329	4	1			1	1	1	A tumor suppressor involved in DNA repair. Germline mutations of BLM are associated with Bloom syndrome and predispose to certain cancers.
CHD2	ENSG00000173575	15q26.1	15093	9.70%	6.43	2.6570	1.9318	4	1			1	1	1	
CD19	ENSG00000177455	16p11.2	1984	2.27%	11.46	2.7430	1.9563	2				1	1		
PRKCB	ENSG00000166501	16p12.2-p12.1	8078	2.12%	2.62	2.7188	1.9454	1		1					
